,name,time,tweet,Source,Likes,RTs,Localization
186,Anderson 🇧🇷🇨🇦,2022-11-11 00:35:21+00:00,"@ciro_nogueira Ciro, qual garantia nós temos de que em 6 meses vc não estará sentado no colo do lula falando mal do Bolsonaro de novo?",Twitter Web App,11,1,
187,Francilene Sena 🌵🌪️🍷,2022-11-11 00:35:21+00:00,"@bragacamila1 @FernandoHoliday Ciro Nogueira, lixo de ser humano junto do lixeiro da galáxia 🤮🤮",Twitter for Android,0,0,
188,Nando Pina,2022-11-11 00:35:01+00:00,"@ciro_nogueira Só acho que está na hora de acabar  com esse  joguinho de palavras, e focar nas pessoas que estão na… https://t.co/xBak1bP63A",Twitter for Android,0,0,"Do lado da capivara, Brasil"
189,Fábio yd,2022-11-11 00:35:00+00:00,@ciro_nogueira Setor produtivo inteiro contra o L e agora o mercado financeiro pulando fora. Restam os servidores d… https://t.co/IaDucAsE4u,Twitter for Android,0,0,
190,Sara Soares,2022-11-11 00:34:58+00:00,"@luiz_ressaca O Ciro metade colorido, metade preto e branco 😂😂😂😂",Twitter for iPhone,1,0,"São José, Brasil"
191,Mendes47,2022-11-11 00:34:54+00:00,"@ErikaMouraAlves @ciro_nogueira Concordo, postura lamentável.",Twitter for iPhone,0,0,
192,Ed W G,2022-11-11 00:34:48+00:00,"@ciro_nogueira Ah, tá bom que alguma coisa em Brasília te surpreenda. Gosta de jogar pra platéia e negociar nos bastidores seus interesses.",Twitter for Android,0,0,
193,VLS,2022-11-11 00:34:47+00:00,@ciro_nogueira Já estamos nas ruas @ciro_nogueira,Twitter for Android,0,0,l
194,🇧🇷,2022-11-11 00:34:47+00:00,@ErikaMouraAlves @saritacoelho @ciro_nogueira Foi  nesse  tic  tac que  a gente  tomou no  uc..😡🤡,Twitter for Android,0,0,
195,Marcos Eiras,2022-11-11 00:34:45+00:00,"@ciro_nogueira O que, exatamente?",Twitter Web App,0,0,
196,𝙰 𝚁𝚘𝚋𝚘𝚃. ²² 🇧🇷🌻,2022-11-11 00:34:40+00:00,"@ciro_nogueira NÃO ENCHE A PACIÊNCIA!

NÓS ESTAMOS OCUPADOS NAS RUAS  TENTANDO RESOLVER UM PROBLEMA GRAVÍSSIMO! 🇧🇷

PARA DE MOLECAGEM!",Twitter for Android,1,0,
197,mbestradadafuria2,2022-11-11 00:34:37+00:00,"@ciro_nogueira OLHA O TEU TIC TAC, ACHEI https://t.co/sfgBDaxLLT",Twitter for Android,0,0,
198,ALESSANDRA R CASTRO🇧🇷🇧🇷,2022-11-11 00:34:33+00:00,@ciro_nogueira E aí? Vai trair o presidente? Não esqueça  do q aconteceu com aqueles q fizeram essa besteira...,Twitter for Android,0,0,Meio do mato 💛💚
199,🇧🇷RMS🇧🇷,2022-11-11 00:34:29+00:00,"@absolom26823680 @ciro_nogueira Explica moço to no trabalho ansiosa vendo isso, fala não vou conseguir dar meu plantão pfv",Twitter for Android,2,0,
200,Rita Fernandes,2022-11-11 00:34:29+00:00,@ciro_nogueira Inacreditável a falha de comunicação do governo.,Twitter for Android,0,0,"Minas Gerais, Brasil"
201,Conservador PG,2022-11-11 00:34:25+00:00,@ciro_nogueira Tic tac tic tac tic. É Mesmo,Twitter for Android,0,0,Estados Unidos
202,Massuke,2022-11-11 00:34:24+00:00,@HelioFerro1 @ciro_nogueira Aí q medu,Twitter for iPhone,0,0,
203,Thomas,2022-11-11 00:34:23+00:00,@ciro_nogueira Esses fi de rapariga pensa que isso é novela mexicana.,Twitter for Android,0,0,"São Paulo, Brasil"
204,josh Lula13,2022-11-11 00:34:19+00:00,@ciro_nogueira Isso. Lula ganhou. Você perdeu. Vai ter que negociar agora. BABACA,Twitter for Android,0,0,"Recife, Brasil"
205,Maria Cândida Guerra Mata,2022-11-11 00:33:54+00:00,@Clauschvartz @jeffersontltv @ciro_nogueira Obrigada! 🚩🚩🚩🚩🚩🚩  L L L L L L,Twitter for Android,0,0,
206,Jonas Lüersen,2022-11-11 00:33:46+00:00,"@ciro_nogueira ""Sentirão saudades da gente"", Bolsonaro tinha razão denovo!",Twitter for Android,0,0,"Uberlândia, Brasil"
