,name,time,tweet,Source,Likes,RTs,Localization
107,Wanderson Silva,2022-11-08 18:21:45+00:00,"@antoniotabet e não é que a lista é extensa mesmo, Tabet?

Ouvi dizer que alguns pesquisadores do Centro de Pesquis… https://t.co/bwSM60isoi",Twitter Web App,0,0,
108,BARUCH PINO,2022-11-08 18:19:29+00:00,@antoniotabet Faltou a TAKARA CHA NOMURO Tabet,Twitter for Android,0,0,"São Paulo, Brasil"
109,João Alberto Kolling,2022-11-08 17:52:37+00:00,"@antoniotabet Tabet, aparentemente as urnas foram testadas pela equipe da Mecania Simas Turbo",Twitter Web App,1,0,Oslo
110,Vinicius Tardin,2022-11-08 17:42:42+00:00,"@antoniotabet Kkkkkk tabet seu lazarento, para de bloquear os comentários.",Twitter for Android,0,0,Brasil.
111,Cesar,2022-11-08 17:09:28+00:00,Gente q fk lambendo a tabet pelo amor de deus vcs são uns otários msm em,Twitter for Android,2,0,
112,Misantropia Coletiva,2022-11-08 17:07:54+00:00,@elzamariana A Tabet fazendo campanha para si no 2 turno não agregou quase nada e o que já era esperado foi feito p… https://t.co/5jjEhoDZZW,Twitter for Android,0,0,"Nordeste, meu país!"
113,Maria Solange,2022-11-08 17:01:30+00:00,Esse malandro chamado Bruno Tabet e seus comparsas muitos deles saíram da assistência social aqui em São Paulo e ti… https://t.co/oKnJQxKsG4,Twitter for Android,0,0,
114,Maria Solange,2022-11-08 16:39:09+00:00,Esse cara do vídeo e o Bruno Tabet era ou é presidente de uma ONG chamada SP Invisível desde do ano passado e iníci… https://t.co/AR145qLcqe,Twitter for Android,0,0,
115,Thiago Ribeiro,2022-11-08 16:36:27+00:00,@cahemota Q notícia maravilhosa,Twitter for iPhone,0,0,"Campos dos Goytacazes, Brasil"
116,André Costa,2022-11-08 15:22:38+00:00,"@dentsep Do Tabet?? Pq? Ahahah

Ele postou isso aqui: O Vitor Belfort postou um story falando do general “Benjamin… https://t.co/JSVJYy87mq",Twitter Web App,0,0,
